Re,C
0.1023293,239.3317
0.2454709,100.2305
0.7379042,35.64512
1.940886,15.24053
5.794287,6.353309
14.4544,3.357376
30.83188,2.103778
66.22166,1.336595
182.3895,0.8109611
276.0578,0.674528
544.5027,0.5395106
1207.813,0.4549881
2128.139,0.4149541
3845.918,0.3935501
7328.242,0.3908409
10889.31,0.4092607
19186.69,0.4375221
36812.89,0.4581419
56493.68,0.476431
75509.19,0.4920396
136458.4,0.4988844
260015.9,0.4864073
304789.7,0.4797334
321366,0.4698942
334195.2,0.4518559
345143.8,0.4149541
375837.3,0.2306747
396278.1,0.1073989
406443.5,0.07568328
412097.3,0.07079458
628058.1,0.08974289
950605.1,0.1064143
1119437,0.1174898
1588548,0.1383566
2344228,0.1548817
3715354,0.1663412
5662390,0.1741807
7816281,0.1786487
1.004616E+07,0.181134
